p_recall,timestamp,delta,user_id,learning_language,ui_language,lexeme_id,lexeme_string,history_seen,history_correct,session_seen,session_correct
1.0,1362115777,88712,u:gcp6,en,es,c3c416ec9a16d9ec6f7b96236c5b49e2,dog/dog<n><sg>,21,19,1,1
1.0,1362206699,374,u:iRfb,es,en,e5a09ea1bd469575ed000382d5cee176,mujer/mujer<n><f><sg>,4,3,4,4
1.0,1362098664,80224,u:ieXV,en,pt,0d9244f805fd55af1281a1bcb1a2cba6,and/and<cnjcoo>,26,22,1,1
0.0,1362109501,182,u:hcHp,es,en,1df466a5f2f77b430fa30f7e366404ef,cartas/carta<n><f><pl>,5,4,1,0
1.0,1363025617,308,u:idXn,en,pt,e1edf7bdcb3008f65fdf18db27d3dd7d,me/prpers<prn><obj><p1><mf><sg>,39,29,1,1
1.0,1362191116,1048984,u:hhZm,en,pt,5fa72aeafbde5b346681886abbabf3f3,egg/egg<n><sg>,6,5,1,1
1.0,1362963667,88044,u:i01b,fr,en,be70637289b60b17de3b22270462e5bf,un/un<det><ind><m><sg>,7,6,3,3
1.0,1362370401,828659,u:h9_f,es,en,605a1c36da2cf22706eaad95b0b7eeee,niño/niño<n><m><sg>,12,9,3,3
1.0,1362783870,263016,u:iRk3,de,en,40bcbd8339eeae2ed5ee89caf5c517c5,brot/brot<n><nt><sg><nom>,3,3,1,1
1.0,1362445548,474,u:btXb,en,es,d3619a3e50c3b522703d66166855d3bf,'/'<apos>,3,3,2,2
1.0,1362581663,1306,u:gmrn,en,es,97e922f780d628eac638bea7a02bf496,is/be<vbser><pri><p3><sg>,71,71,1,1
1.0,1362679368,247297,u:gCIc,en,es,7dab41a78fec1de7eea6f4e0f5173f3a,hats/hat<n><pl>,44,40,2,2
1.0,1362236363,151780,u:gMuu,en,es,a0a5f708719b0a82b7d93ec177b41fc7,<*sf>/model<n><*numb>,2,2,2,2
1.0,1362750795,3047,u:fiYd,en,it,577853bea646e596a8bd041fb781718a,does/do<vbdo><pri><p3><sg>,48,44,1,1
1.0,1362772155,85701,u:g2cC,en,pt,92545dc760008a4cdb29e841e6121952,beer/beer<n><sg>,2,2,1,1
1.0,1362364632,232,u:hWVd,en,es,b468896bf9b7ff188e1bf466b84675c0,say/say<vblex><pres>,4,4,1,1
1.0,1362335477,146805,u:gRJC,it,en,edabf683d3cc35810707dbaa877a429e,<*sf>/notte<n><f><*numb>,6,6,1,1
1.0,1362928973,26325584,u:qid,fr,en,b8177f85ffb5356bd51d6ebaacd146e4,pomme/pomme<n><f><sg>,4,4,5,5
1.0,1362345937,374,u:hVDL,it,en,a00ac61a157beed441c40ec64c73fadd,vino/vino<n><m><sg>,3,2,1,1
0.0,1362274905,41587,u:bfZi,es,en,4f1c591ed0a7054921897dd7f1767acd,blancos/blanco<adj><m><pl>,12,12,1,0
0.0,1362166527,205,u:iiVS,de,en,8ebdad2c57855e0e650745d06d9ed7bf,links/links<adv>,6,5,1,0
1.0,1362744069,305,u:g_dC,it,en,637a229607270067abdb3a03b9482e9f,leggono/leggere<vblex><pri><p3><pl>,10,8,1,1
1.0,1362149370,1135,u:g76S,fr,en,040800b0ce9232fc7904745abae0b509,thé/thé<n><m><sg>,12,10,1,1
1.0,1362736236,2072925,u:ASj,es,en,569bd0561ddb4a719dd611ab4b3c9291,tocar/tocar<vblex><inf>,9,9,1,1
1.0,1362834560,4488955,u:eNT2,en,es,c9fb923e49d5cba24b5afb9ee1cff2a9,wine/wine<n><sg>,4,3,1,1
0.0,1362505093,3020,u:iprq,de,en,6f9902a2e4d1f353aecc47843c9df6e7,eine/ein<det><ind><f><sg><nom>,13,11,1,0
1.0,1362091840,1350,u:t0V,it,en,418101d9be14cf5e53ad57ac4f8f4258,sono/essere<vbser><pri><p1><sg>,10,9,3,3
1.0,1362622279,694,u:iK99,es,en,cb9b44daeb2fd896731bcdef127db8c3,nuestros/nuestro<det><pos><m><pl>,4,4,4,4
1.0,1363015774,417572,u:iElW,en,es,fd868ce91afa319feee635bf12c24fa6,when/when<cnjadv>,5,5,6,6
1.0,1362157644,344944,u:dT4N,fr,en,4f4630863e24a10133cb1e6832eb81c4,<*sf>/venir<vblex><pii><*pers><*numb>,2,1,1,1
1.0,1362589631,644,u:gbzj,en,pt,e1edf7bdcb3008f65fdf18db27d3dd7d,me/prpers<prn><obj><p1><mf><sg>,33,29,1,1
1.0,1362205968,577762,u:iu6w,es,en,d343fa9686b06251e151ea166773da32,ustedes/prpers<prn><tn><p3><mf><pl>,6,6,1,1
1.0,1362107858,600,u:h4J3,es,en,fea199274abbc1c7354996f16f1525d5,alto/alto<adj><m><sg>,5,5,1,1
1.0,1362829669,176237,u:igU4,de,en,cc01ee792b3eb9009d0af8185bd5bc7f,zeitung/zeitung<n><f><sg><acc>,5,5,3,3
1.0,1362770853,497,u:ii0t,en,es,842443fda40da053ff7f8d68c1af99b8,oil/oil<n><sg>,4,4,1,1
0.0,1362328908,60,u:dk2Z,es,en,3c317e367d8d299c237e618dd5dde5da,vino/vino<n><m><sg>,106,91,1,0
1.0,1362952701,2949,u:hPUO,en,es,f42865f53c4d50746ed9bb08fe1fdfd8,white/white<adj><sint>,3,3,3,3
1.0,1363005613,310,u:hXfz,es,en,fe5f98df899d5d233240fffa99ee12fa,con/con<pr>,15,13,2,2
1.0,1362509436,2528011,u:hwjS,es,en,3d69e78dafc9bb33f926626a63c580bb,ella/prpers<prn><tn><p3><f><sg>,3,3,1,1
1.0,1362340560,84467,u:bCl7,en,es,e68b6e78f7e271d2221c2ea2451c8b9c,<*sf>/day<n><*numb>,3,3,2,2
1.0,1362235111,1901,u:iRCP,en,it,375662ec82debfdebd8215b147848cc7,woman/woman<n><sg>,3,3,1,1
1.0,1362574775,601,u:hwuA,es,en,57f4578f38182e00a174493838f81262,abuela/abuelo<n><f><sg>,4,4,2,2
1.0,1362726447,393,u:exUs,de,en,cee314fa43551daf3690bb5cdda0bf23,lerne/lernen<vblex><pri><p1><sg>,3,3,4,4
1.0,1362572397,231601,u:imnr,en,es,f19bad09b7354d4cf02403544519d849,dinner/dinner<n><sg>,6,6,4,4
1.0,1363066861,164,u:ikwd,es,en,61c2f4dd9c024c9d99910ba2b04590b1,comen/comer<vblex><pri><p3><pl>,9,8,1,1
1.0,1362623784,80558,u:Xhr,de,en,76390c1350a8dac31186187e2fe1e178,lernt/lernen<vblex><pri><p3><sg>,22,21,4,4
0.0,1362938701,143,u:ev1d,fr,en,b1a71481e27138dc37501f2cbde775fc,es/être<vbser><pri><p2><sg>,5,4,1,0
0.666666666667,1362840004,504946,u:cdP5,es,en,c55fdb77913c2e95a223c0d95df57201,estábamos/estar<vblex><pii><p1><pl>,5,5,3,2
1.0,1363074965,388,u:iLYa,en,es,803fb3436c1cd9be8aeef58b5698083d,her/prpers<prn><obj><p3><f><sg>,5,5,2,2
1.0,1362882321,1556954,u:bqJD,es,en,54b3898d79f8aca9b9d071185df45d0c,larga/largo<adj><f><sg>,2,2,2,2
1.0,1362243695,64784,u:hS6u,en,pt,822ef52ef2cf0f095a65190d10958517,salt/salt<n><sg>,4,4,1,1
1.0,1362419714,435109,u:iGeI,en,es,179dc23eaea411d9839e3ec0ff7dfc15,turtle/turtle<n><sg>,5,3,2,2
0.0,1362952919,156,u:iMgi,de,en,89572d2ea236692120e191282b17695c,das/das<rel><nt><sg><nom>,12,10,1,0
1.0,1362396235,393044,u:hGKA,es,en,f00cd5d54171096208a6a1e13ab02ab9,perro/perro<n><m><sg>,6,5,1,1
1.0,1363049594,191091,u:hSvI,fr,en,ad8bf6d449c71d9fb3f2ed13171e27bd,grandes/grand<adj><f><pl>,6,5,2,2
1.0,1362844530,1434690,u:hBKh,fr,en,4cf7cc58a60045f4396136f6368d8d41,pardon/pardon<n><m><sg>,3,2,2,2
1.0,1362356269,18242899,u:bW80,en,es,c52ab45d4e22ee7580041911159e3c0c,water/water<n><sg>,5,5,1,1
1.0,1362882002,14831,u:i38_,es,en,2f6bf5bb00276852e18a82f36b114028,días/día<@ij:buenos_dias>,3,3,2,2
1.0,1362213494,168659,u:gR3t,de,en,02593e1a06fbd36b7ae48ad82491181d,arbeitgeber/arbeitgeber<n><m><sg><nom>,4,3,2,2
1.0,1363036499,20971,u:ht21,es,en,6466c217460079d74e1f098116fff664,quiero/querer<vblex><pri><p1><sg>,6,6,1,1
1.0,1362956550,2191,u:iXRb,de,en,bae9cad859ae1be750a7c79fa962695c,ja/ja<adv>,3,3,3,3
1.0,1362484199,436,u:g7GT,es,en,86584daef5933b284384453795bbf0ed,hombre/hombre<n><m><sg>,42,39,2,2
1.0,1362964849,146,u:i4vp,en,es,6b945b144608aa4e5b254baf20e2be77,cat/cat<n><sg>,9,9,2,2
1.0,1362853958,213,u:iLn0,de,en,ef40e640cc9599341392b66d6b890c27,getränke/getränk<n><nt><pl><*case>,1,1,1,1
0.5,1362274928,2971420,u:f9JT,it,en,fe72c841a54b9112e60870182236e00e,lo/il<det><def><m><sg>,2,2,2,1
1.0,1362537329,242,u:gsnB,en,es,547bb1812414cec172b0afef5ca93fce,girl/girl<n><sg>,46,45,2,2
1.0,1362266164,330953,u:iAan,fr,en,ad0bd400d8339c6cbd1ef0df4137f081,<*sf>/commander<vblex><pri><*pers><*numb>,1,1,1,1
1.0,1363053477,272,u:gzzk,en,es,3bacb3ee54438d526e516830c9b86634,<*sf>/company<n><*numb>,15,14,1,1
1.0,1362169525,95025,u:iKft,en,pt,1f52d650da1ee41e47ee11caf853e6f4,sandwich/sandwich<n><sg>,3,2,1,1
1.0,1362657972,79889,u:dICe,es,en,3839b01a06ad91ec9815ec5ac3b18c8d,verano/verano<n><m><sg>,2,2,3,3
1.0,1362773880,5281635,u:SJK,es,en,108c28dd4282cc9ada6139270342d870,abrigo/abrigo<n><m><sg>,2,1,1,1
1.0,1362706455,403619,u:iw9e,es,en,108c28dd4282cc9ada6139270342d870,abrigo/abrigo<n><m><sg>,3,3,2,2
1.0,1362116000,1261,u:ftRi,de,en,4270d485372bac72916ea26bf6f11437,katzen/katze<n><f><pl><nom>,3,3,1,1
0.0,1362432089,2396,u:harc,es,en,2a1413910b039649157b250e4c3cffa4,oído/oído<n><m><sg>,1,1,1,0
1.0,1362872736,316,u:iSX_,en,pt,961323e510456613053547d6acee68aa,<*sf>/skirt<n><*numb>,1,1,1,1
0.0,1362750181,82549,u:gZp0,en,es,4adf5cd40d521b02a9cc241bf3adc6bb,have/have<vblex><inf>,63,60,1,0
1.0,1362346553,3017,u:gZrb,en,es,6d4c572af8022cb4784ce0f8898d1905,to/to<pr>,52,47,1,1
1.0,1362209794,102960,u:ikW5,en,es,65e39bd07057893f74d8db10b367f7aa,she/prpers<prn><subj><p3><f><sg>,12,12,1,1
1.0,1362237045,77389,u:_4-,es,en,866e64c5982b300a8fa79f2d02342554,vas/ir<vblex><pri><p2><sg><@future_phrasal>,222,206,1,1
1.0,1362401229,237487,u:iPNw,en,es,c7cdabd85f63506807f8d856897a2089,it/prpers<prn><subj><p3><nt><sg>,5,5,1,1
1.0,1362167348,101224,u:bk9W,es,en,d8e7d9390fd34b4412426351e8866f6e,nos/prpers<prn><pro><p1><mf><pl>,67,61,1,1
0.833333333333,1362269549,230717,u:ikP-,fr,en,603b7cd0d4d54eee91008645adccd258,mange/manger<vblex><pri><p1><sg>,5,5,6,5
0.0,1362153459,72,u:iOYl,en,pt,b974624f112084b39586380fe4aaf32a,man/man<n><sg>,5,4,1,0
0.333333333333,1362664108,327,u:hmos,es,en,fda174b61b0ed5e2eaa6deceae37f56b,son/ser<vbser><pri><p3><pl>,9,7,3,1
1.0,1362868247,690,u:hCjH,en,es,a617ed646a251e339738ce62b84e61ce,are/be<vbser><pres>,73,62,1,1
1.0,1362579505,489,u:dexQ,en,pt,5e29d77697d23070a1fb92eb6c90e9b6,bread/bread<n><sg>,11,9,1,1
1.0,1362978432,262303,u:i4H8,es,en,450e8142f25e35ce14f275ddcdf3e48f,tocamos/tocar<vblex><pri><p1><pl>,3,3,1,1
1.0,1362202303,249,u:iG4W,fr,en,1908182cb9ca303d33b5e3ea9806b29e,pâtes/pâte<n><f><pl>,2,2,1,1
1.0,1362590443,303,u:W-H,en,es,a826c47947d68549fa81e19cafa57ba0,eat/eat<vblex><pres>,8,8,2,2
0.0,1362694937,776,u:ijUf,fr,en,5594b03119f7beb09faeab02bda34d19,elle/il<prn><tn><p3><f><sg>,3,3,2,0
1.0,1362541676,196,u:iqrR,it,en,9e78d23f06d1b9f51a5b7a96056332f8,bottiglie/bottiglia<n><f><pl>,8,6,1,1
0.5,1362308728,94356,u:ij2r,de,en,1f590670a5d0caf52e33afed1ab566eb,freund/freund<n><m><sg><acc>,4,1,2,1
1.0,1363026913,163567,u:h1vb,en,es,7489751fe9a37e9c8f03e2e4562b8d03,in/in<pr>,5,5,4,4
1.0,1362362854,152,u:ishH,es,en,9353386b0c4e64accaac7bc00f86959d,mis/mío<det><pos><mf><pl>,9,4,1,1
1.0,1362786013,90847,u:etIU,fr,en,6eee7de1f58d4033e937386469f1a5ab,garçon/garçon<n><m><sg>,4,4,2,2
1.0,1362416835,442,u:glnY,en,pt,e4f82622081279ba8af9b7cd6b43259c,meat/meat<n><sg>,11,9,1,1
0.6,1363054243,642067,u:iLeL,en,pt,827a8ecb89f9b59ac5c29b620a5d3ed6,a/a<det><ind><sg>,14,13,10,6
1.0,1362885877,108580,u:fT0x,en,es,72e1760c452153c6732f748722d85535,remember/remember<vblex><pres>,10,10,1,1
0.0,1362751396,361,u:gbAO,en,it,efc2c65bd3a2ab7e0e2d4db65e290699,read/read<vblex><pres>,4,4,1,0
1.0,1363030558,588,u:itIO,fr,en,2d0937077480a627a3973de2a1e4015a,vin/vin<n><m><sg>,55,52,2,2
1.0,1362716552,209,u:igfQ,en,es,92545dc760008a4cdb29e841e6121952,beer/beer<n><sg>,18,18,1,1
1.0,1362756167,839,u:iepQ,es,en,08bb4120ecb09c3cc4a544af3f119f6d,pasta/pasta<n><f><sg>,2,2,1,1
1.0,1362159458,60773,u:eZFi,es,en,c2c8a202a12411858f87d4dcef5b2998,no/no<adv>,6,5,1,1
1.0,1362963969,340,u:iL7R,de,en,c76b4333fe84d57cce3a1e3c4101d21b,du/du<prn><p2><mf><sg><nom>,9,9,1,1
1.0,1363053471,3042715,u:hkiM,en,es,97e922f780d628eac638bea7a02bf496,is/be<vbser><pri><p3><sg>,37,35,1,1
0.5,1362566612,1582,u:i16b,en,pt,827a8ecb89f9b59ac5c29b620a5d3ed6,a/a<det><ind><sg>,11,7,2,1
0.5,1362578525,437823,u:hXyR,pt,en,cb2125848602cd4d35397caf86af9cd8,queijo/queijo<n><m><sg>,3,3,2,1
1.0,1362134935,169433,u:iI8d,fr,en,b8177f85ffb5356bd51d6ebaacd146e4,pomme/pomme<n><f><sg>,2,2,6,6
0.5,1362421650,5382,u:KJi,fr,en,8eab218aee7c0dac90f093c855af968a,pain/pain<n><m><sg>,20,20,2,1
1.0,1362536155,6225529,u:eIoj,en,pt,b8b55f8044c9109cc9c06da459568e7c,skirt/skirt<n><sg>,12,10,1,1
1.0,1362411040,19039,u:B6-,fr,en,03a546003e03b545a6d419b6620b3749,la/le<det><def><f><sg>,16,15,1,1
1.0,1362453789,691390,u:gaCJ,fr,en,ad8bf6d449c71d9fb3f2ed13171e27bd,grandes/grand<adj><f><pl>,5,5,1,1
1.0,1362523176,157,u:hEHM,es,en,593cf703acd34bfc58184c2a96ff5e2a,como/comer<vblex><pri><p1><sg>,17,17,1,1
0.5,1362085292,177,u:ifjZ,de,en,f0018f1d6164d3c67265ca716588f7cb,es/es<prn><p3><nt><sg><nom>,5,3,2,1
1.0,1362796521,10801797,u:YeY,en,es,b7734a9e942f3e39f2d20b72bb598add,once/once<adv>,31,28,1,1
1.0,1362502582,8389,u:gQss,en,pt,a617ed646a251e339738ce62b84e61ce,are/be<vbser><pres>,89,80,1,1
1.0,1362432745,1488,u:h5PH,es,en,47692db0120d603dc27a1881fe41c5e8,tienen/tener<vblex><pri><p3><pl>,6,6,1,1
1.0,1362849511,1342,u:i77m,es,en,cfd0209136e56af5674beb77f8d26755,jugo/jugo<n><m><sg>,2,1,1,1
1.0,1362336388,155,u:fQDm,es,en,483f8bb2614072287fe1a39eb15ba612,me/prpers<prn><pro><p1><mf><sg>,191,183,2,2
1.0,1362143174,245,u:ieZS,de,en,1f590670a5d0caf52e33afed1ab566eb,freund/freund<n><m><sg><acc>,7,6,3,3
1.0,1362267913,266,u:iosb,it,en,c226e58f802f1c579846e583a12cdc78,buonanotte/buonanotte<ij>,5,4,3,3
1.0,1362999475,37396,u:bPWi,es,en,c2c8a202a12411858f87d4dcef5b2998,no/no<adv>,1277,1176,2,2
1.0,1362262312,67798,u:ilRE,en,es,0e9f09196d4abc6a5ae82dd6d8772c95,tail/tail<n><sg>,4,4,1,1
1.0,1362803849,345191,u:iV4r,it,en,25616093938c98ae27514957f64b6084,bevono/bere<vblex><pri><p3><pl>,3,1,4,4
1.0,1362821977,4974,u:gg8y,en,it,844f5cfb64fe8da937c268f87938156b,november/november<n><sg>,6,6,1,1
1.0,1362518094,305,u:dZ-8,en,es,a826c47947d68549fa81e19cafa57ba0,eat/eat<vblex><pres>,36,36,3,3
1.0,1362329916,261923,u:gdxX,es,en,3c08a22469bce07213418c8083054451,triunfo/triunfar<vblex><pri><p1><sg>,2,2,2,2
1.0,1362842608,243038,u:iv7K,de,en,336f4e0a673746e0ab749c1de3a84ee2,großeltern/großeltern<n><nt><pl><dat>,5,4,1,1
1.0,1362197745,242,u:gnYU,en,es,7dab41a78fec1de7eea6f4e0f5173f3a,hats/hat<n><pl>,11,9,1,1
0.0,1362606333,12189,u:h2Ep,de,en,33dff207e60713c6e775f4a3d31b5384,häuser/haus<n><nt><pl><acc>,6,6,1,0
1.0,1362835022,1530,u:i-Fx,fr,en,603b7cd0d4d54eee91008645adccd258,mange/manger<vblex><pri><p1><sg>,3,2,3,3
1.0,1362670535,852,u:gRHG,en,es,487ce8262508986af0cba5beeb89e127,whose/whose<prn><itg><mf><sp>,13,13,1,1
1.0,1362340714,692,u:g93l,de,en,1bacf218eaaf9f944e525f7be9b31899,kind/kind<n><nt><sg><nom>,14,14,1,1
1.0,1362988614,293,u:iStB,es,en,36cc2f758a27a4ebeb9f23d82881a811,pescados/pescado<n><m><pl>,6,6,2,2
1.0,1362252309,5453245,u:fwIz,fr,en,c23991d493737f3a529bbe38c19033c0,mangent/manger<vblex><pri><p3><pl>,1,1,1,1
1.0,1362339882,391370,u:iten,es,en,6b4ac7ed7cae8cd551c71d1a5b0aedc4,cocino/cocinar<vblex><pri><p1><sg>,5,4,1,1
1.0,1362562190,380,u:hBLL,de,en,3f210e9f57d4e898781d523fdde0f3d9,<*sf>/apotheke<n><f><*numb><*case>,1,1,1,1
1.0,1362584494,78798,u:qJ2,es,en,4223f27366fc70333225b9e2ec3d2a4c,tengo/tener<vblex><pri><p1><sg>,31,29,1,1
1.0,1362615305,361287,u:g5Ss,en,pt,91e1f511d532b80f8ef3fca752f3a237,fish/fish<n><sg>,41,32,1,1
1.0,1362580094,915,u:gP0O,es,en,e90f0f43da00a10f3954bcd34c144e2c,queso/queso<n><m><sg>,6,6,1,1
1.0,1362385715,495,u:dQ0i,en,es,822ef52ef2cf0f095a65190d10958517,salt/salt<n><sg>,4,4,1,1
0.75,1362955124,307037,u:cVIX,es,en,8d97dc81cb3844281262ee45b3d33f3c,fruta/fruta<n><f><sg>,4,4,4,3
1.0,1362525333,88765,u:hbWB,es,en,422516af224fab8a0c2c033763d2739f,flores/flor<n><f><pl>,1,1,1,1
1.0,1362573408,856990,u:est5,en,pt,5cda37194d9474e70ea2d0f7d4d6beaf,that/that<det><dem><sg>,12,11,1,1
1.0,1363083422,90314,u:fAOt,de,en,3d02dabb3a70c48c88d027ffae7b5db3,rote/rot<adj><pst><f><sg><acc>,9,8,1,1
1.0,1362161349,999,u:h_E3,en,es,65e5296142d056fd1403e95fb027f107,fruit/fruit<n><sg>,5,5,1,1
1.0,1362155699,419846,u:iAj6,en,es,9443f902cdcf9f4da3b5f58d3f657efe,you/prpers<@ij:thank_you>,4,4,1,1
1.0,1362234956,70873,u:h6OF,es,en,c45ef4722a42feb9abd919a38aa4276a,ven/ver<vblex><pri><p3><pl>,10,8,2,2
1.0,1362198005,4441,u:c585,en,es,f8fdb9076b95ddccaccdbad286b0b558,dogs/dog<n><pl>,6,6,1,1
1.0,1362530929,10653243,u:bXZ-,de,en,0d2e5b33c5e57761872abf97ec9398e3,äpfel/apfel<n><m><pl><acc>,79,77,2,2
1.0,1362155905,4832,u:iKuE,de,en,987779a80e80fb9c914dee9130ae1a79,nicht/nicht<adv>,3,3,3,3
1.0,1362170110,267689,u:ibjK,en,es,a617ed646a251e339738ce62b84e61ce,are/be<vbser><pres>,18,16,1,1
1.0,1362227397,2253206,u:NPs,en,es,601be72748838f924f865120aa89fc28,wednesday/wednesday<n><sg>,21,15,1,1
1.0,1362547686,316,u:dulj,en,es,cdfecc9247566d40bb964a218c54c783,drink/drink<vblex><pres>,40,36,2,2
1.0,1362937128,567,u:hW_z,en,it,cdfecc9247566d40bb964a218c54c783,drink/drink<vblex><pres>,15,14,1,1
1.0,1362671781,965,u:h3qH,de,en,1d72332fdeb43df8c9e1baca821a7e53,perfekt/perfekt<adj><pst><pred>,5,5,2,2
1.0,1362414335,560,u:coVS,en,es,95d036f93e9bc5fda5a597d283c1c029,had/have<vblex><pp><@cond_perfect>,20,19,2,2
1.0,1362100805,311,u:ffFC,pt,en,66de7b08cfb201e34d0ddadc60c28c70,como/comer<vblex><pri><p1><sg>,21,20,1,1
1.0,1363045621,649,u:hzIq,de,en,a52cd89e5891974b1e00db637f260efd,vertreter/vertreter<n><m><sg><nom>,4,4,1,1
1.0,1363009237,1375635,u:dPuM,en,es,49b58c9aba221c0eb980bf9629101dad,selection/selection<n><sg>,3,3,1,1
1.0,1362760838,3351142,u:ia3,de,en,a6d1be753de87a9ad446c29d4dc217b5,haben/haben<vbhaver><pri><p3><pl>,9,6,1,1
1.0,1362221491,63428,u:id2j,en,it,f8fdb9076b95ddccaccdbad286b0b558,dogs/dog<n><pl>,14,11,1,1
1.0,1362503493,1437,u:iZHA,es,en,d343fa9686b06251e151ea166773da32,ustedes/prpers<prn><tn><p3><mf><pl>,5,5,4,4
1.0,1362428975,348178,u:hFRz,es,en,cfd0209136e56af5674beb77f8d26755,jugo/jugo<n><m><sg>,4,4,1,1
0.0,1362816751,100883,u:itUE,fr,en,eeaea9dd7feaad06518e114c325d1308,des/de<pr>+le<det><def><mf><pl>,8,7,1,0
1.0,1363056410,4913,u:g6re,fr,en,808d0c8ede6981e3d9a7a87153601e38,une/un<det><ind><f><sg>,10,10,5,5
1.0,1362615113,31865,u:g-CZ,fr,en,3a715a7f339976027df852f9de19c759,<*sf>/savoir<vblex><pri><*pers><*numb>,14,14,1,1
1.0,1362602553,389,u:hOoQ,en,es,74b2ac77cf1b5c548dee1241dd3667b9,cheese/cheese<n><sg>,8,7,2,2
0.0,1362171423,164716,u:h_jL,fr,en,24ea7199ed8e95e420abc795c3770416,lettre/lettre<n><f><sg>,4,4,1,0
1.0,1362966460,330,u:h4le,en,es,768f410a8fc1caa64ee36071082a231c,animal/animal<n><sg>,3,3,2,2
0.0,1362694103,92,u:h8Zh,en,es,375662ec82debfdebd8215b147848cc7,woman/woman<n><sg>,59,38,1,0
1.0,1362904883,5101090,u:b0r3,es,en,54ed4cf41cbbae2ce97ddda174b5be84,es/ser<vbser><pri><p3><sg>,108,96,5,5
0.666666666667,1362927808,1308598,u:box,es,en,c55fdb77913c2e95a223c0d95df57201,estábamos/estar<vblex><pii><p1><pl>,56,47,3,2
